radii_um,counts
0.835,1
1.67,1
2.505,1
3.34,1
4.175,1
5.01,2
5.845,2
6.68,3
7.515,5
8.35,5
9.185,5
10.02,5
10.855,7
11.69,5
12.525,5
13.36,5
14.195,4
15.03,4
15.865,4
16.7,4
17.535,5
18.37,4
19.205,5
20.04,5
20.875,4
21.71,5
22.545,5
23.38,5
24.215,5
25.05,5
25.885,5
26.72,7
27.555,6
28.39,6
29.225,6
30.06,7
30.895,7
31.73,7
32.565,7
33.4,7
34.235,7
35.07,8
35.905,8
36.74,8
37.575,8
38.41,9
39.245,8
40.08,8
40.915,9
41.75,8
42.585,8
43.42,8
44.255,9
45.09,9
45.925,9
46.76,9
47.595,10
48.43,10
49.265,11
50.1,12
50.935,12
51.77,12
52.605,13
53.44,12
54.275,13
55.11,13
55.945,12
56.78,14
57.615,15
58.45,16
59.285,17
60.12,19
60.955,19
61.79,19
62.625,18
63.46,18
64.295,18
65.13,17
65.965,17
66.8,17
67.635,17
68.47,17
69.305,20
70.14,20
70.975,21
71.81,21
72.645,22
73.48,21
74.315,22
75.15,21
75.985,21
76.82,20
77.655,20
78.49,20
79.325,20
80.16,23
80.995,23
81.83,24
82.665,22
83.5,22
84.335,22
85.17,22
86.005,24
86.84,22
87.675,22
88.51,22
89.345,21
90.18,23
91.015,23
91.85,24
92.685,22
93.52,23
94.355,22
95.19,22
96.025,23
96.86,23
97.695,25
98.53,26
99.365,27
100.2,28
101.035,30
101.87,29
102.705,29
103.54,27
104.375,27
105.21,26
106.045,27
106.88,29
107.715,30
108.55,31
109.385,33
110.22,34
111.055,34
111.89,36
112.725,36
113.56,33
114.395,31
115.23,35
116.065,31
116.9,32
117.735,29
118.57,27
119.405,27
120.24,28
121.075,27
121.91,28
122.745,28
123.58,29
124.415,30
125.25,30
126.085,32
126.92,29
127.755,34
128.59,34
129.425,33
130.26,35
131.095,36
131.93,37
132.765,38
133.6,37
134.435,37
135.27,36
136.105,39
136.94,36
137.775,33
138.61,34
139.445,38
140.28,36
141.115,36
141.95,37
142.785,38
143.62,39
144.455,38
145.29,42
146.125,41
146.96,39
147.795,39
148.63,42
149.465,40
150.3,41
151.135,40
151.97,39
152.805,39
153.64,37
154.475,38
155.31,40
156.145,40
156.98,46
157.815,49
158.65,48
159.485,50
160.32,57
161.155,52
161.99,52
162.825,49
163.66,49
164.495,52
165.33,53
166.165,48
167,52
167.835,51
168.67,50
169.505,52
170.34,52
171.175,51
172.01,47
172.845,47
173.68,47
174.515,47
175.35,47
176.185,46
177.02,45
177.855,42
178.69,42
179.525,43
180.36,39
181.195,41
182.03,40
182.865,45
183.7,44
184.535,49
185.37,50
186.205,45
187.04,47
187.875,48
188.71,47
189.545,47
190.38,49
191.215,47
192.05,52
192.885,54
193.72,54
194.555,53
195.39,54
196.225,55
197.06,54
197.895,53
198.73,50
199.565,54
200.4,58
201.235,59
202.07,65
202.905,66
203.74,68
204.575,65
205.41,63
206.245,61
207.08,63
207.915,57
208.75,59
209.585,59
210.42,61
211.255,67
212.09,73
212.925,73
213.76,75
214.595,70
215.43,75
216.265,68
217.1,63
217.935,61
218.77,62
219.605,67
220.44,63
221.275,61
222.11,60
222.945,62
223.78,64
224.615,60
225.45,57
226.285,54
227.12,57
227.955,58
228.79,56
229.625,57
230.46,59
231.295,61
232.13,59
232.965,62
233.8,60
234.635,60
235.47,59
236.305,63
237.14,61
237.975,59
238.81,62
239.645,58
240.48,61
241.315,53
242.15,57
242.985,56
243.82,54
244.655,56
245.49,53
246.325,59
247.16,62
247.995,60
248.83,57
249.665,55
250.5,59
251.335,54
252.17,58
253.005,51
253.84,54
254.675,55
255.51,63
256.345,59
257.18,62
258.015,63
258.85,62
259.685,60
260.52,59
261.355,59
262.19,57
263.025,61
263.86,58
264.695,62
265.53,51
266.365,53
267.2,46
268.035,49
268.87,46
269.705,47
270.54,50
271.375,50
272.21,45
273.045,52
273.88,52
274.715,52
275.55,51
276.385,53
277.22,57
278.055,52
278.89,53
279.725,55
280.56,57
281.395,55
282.23,56
283.065,51
283.9,52
284.735,57
285.57,55
286.405,59
287.24,55
288.075,62
288.91,57
289.745,57
290.58,60
291.415,59
292.25,58
293.085,63
293.92,55
294.755,54
295.59,57
296.425,56
297.26,57
298.095,56
298.93,50
299.765,52
300.6,52
301.435,50
302.27,47
303.105,45
303.94,46
304.775,45
305.61,44
306.445,42
307.28,40
308.115,40
308.95,40
309.785,38
310.62,36
311.455,37
312.29,37
313.125,36
313.96,38
314.795,43
315.63,42
316.465,34
317.3,35
318.135,37
318.97,37
319.805,34
320.64,31
321.475,29
322.31,30
323.145,26
323.98,26
324.815,22
325.65,23
326.485,24
327.32,26
328.155,21
328.99,25
329.825,23
330.66,20
331.495,22
332.33,21
333.165,19
334,16
334.835,17
335.67,14
336.505,14
337.34,17
338.175,15
339.01,16
339.845,12
340.68,13
341.515,15
342.35,14
343.185,15
344.02,17
344.855,18
345.69,18
346.525,17
347.36,16
348.195,17
349.03,15
349.865,15
350.7,16
351.535,15
352.37,14
353.205,14
354.04,11
354.875,9
355.71,9
356.545,10
357.38,11
358.215,9
359.05,8
359.885,6
360.72,6
361.555,6
362.39,7
363.225,7
364.06,7
364.895,6
365.73,4
366.565,6
367.4,7
368.235,9
369.07,11
369.905,10
370.74,8
371.575,7
372.41,6
373.245,5
374.08,5
374.915,5
375.75,5
376.585,6
377.42,6
378.255,5
379.09,5
379.925,5
380.76,5
381.595,5
382.43,5
383.265,6
384.1,3
384.935,2
385.77,2
386.605,2
387.44,1
